Tecnologia,Execução,Distância (m),Dispositivos,Pacotes Enviados,Pacotes Recebidos,Pacotes Duplicados,PDR (%),PLR (%),Retransmissão (%),Vazão (bps),Utilização do Canal (%),Atraso Médio (s),Banda Utilizada (kHz),Consumo Energia (J)
LORAWAN,4,3000,10000,100000,84000,0,84,16,16,8400000,100,7,325,140
LORAWAN,3,15000,10,100,95,0,95,5,14,9500,21,2,128,16
LORAWAN,2,5000,5000,50000,45000,0,90,10,9,4500000,70,4,226,77
LORAWAN,8,5000,1000,10000,9500,0,95,5,5,950000,30,1,146,27
LORAWAN,1,5000,30000,300000,177000,0,59,41,7,17700000,100,21,726,390
LORAWAN,4,10000,5000,50000,45000,0,90,10,12,4500000,71,4,227,78
LORAWAN,8,15000,100,1000,950,0,95,5,8,95000,22,2,130,17
LORAWAN,3,30000,30000,300000,174000,0,58,42,5,17400000,100,23,731,393
LORAWAN,2,10000,1000,10000,9500,0,95,5,7,950000,31,1,147,28
LORAWAN,3,5000,50000,500000,250000,0,50,50,5,25000000,100,34,1000,640
LORAWAN,7,10000,10000,100000,84000,0,84,16,12,8400000,100,7,327,141
LORAWAN,10,10000,500,5000,4800,0,96,4,17,480000,26,1,137,22
LORAWAN,1,15000,50000,500000,250000,0,50,50,5,25000000,100,35,1000,641
LORAWAN,2,50000,1000,10000,9300,0,93,7,8,930000,35,4,155,33
LORAWAN,5,5000,10,100,96,0,96,4,16,9600,20,1,126,15
LORAWAN,5,5000,1000,10000,9500,0,95,5,5,950000,30,1,146,27
LORAWAN,6,50000,100,1000,940,0,94,6,10,94000,26,4,137,22
LORAWAN,9,50000,500,5000,4700,0,94,6,18,470000,30,4,145,27
LORAWAN,1,30000,30000,300000,174000,0,58,42,11,17400000,100,23,731,393
LORAWAN,4,5000,50000,500000,250000,0,50,50,13,25000000,100,34,1000,640
LORAWAN,8,10000,1000,10000,9500,0,95,5,10,950000,31,1,147,28
LORAWAN,3,30000,500,5000,4750,0,95,5,15,475000,28,3,141,24
LORAWAN,5,15000,50000,500000,250000,0,50,50,5,25000000,100,35,1000,641
LORAWAN,8,3000,30000,300000,177000,0,59,41,16,17700000,100,21,725,390
LORAWAN,9,10000,10,100,96,0,96,4,7,9600,21,1,127,16
LORAWAN,3,3000,50000,500000,250000,0,50,50,19,25000000,100,34,1000,640
LORAWAN,6,15000,10,100,95,0,95,5,7,9500,21,2,128,16
LORAWAN,6,15000,30000,300000,174000,0,58,42,9,17400000,100,22,728,391
LORAWAN,8,50000,5000,50000,44000,0,88,12,11,4400000,75,7,235,83
LORAWAN,7,30000,100,1000,950,0,95,5,11,95000,24,3,133,19
LORAWAN,9,30000,100,1000,950,0,95,5,13,95000,24,3,133,19
LORAWAN,6,30000,10,100,95,0,95,5,16,9500,23,3,131,18
LORAWAN,3,10000,10000,100000,84000,0,84,16,15,8400000,100,7,327,141
LORAWAN,3,30000,1000,10000,9400,0,94,6,8,940000,33,3,151,30
LORAWAN,7,3000,100,1000,960,0,96,4,9,96000,21,1,127,16
LORAWAN,1,5000,100,1000,960,0,96,4,13,96000,21,1,128,16
LORAWAN,2,15000,5000,50000,44500,0,89,11,6,4450000,71,5,228,78
LORAWAN,6,3000,100,1000,960,0,96,4,19,96000,21,1,127,16
LORAWAN,10,30000,1000,10000,9400,0,94,6,13,940000,33,3,151,30
LORAWAN,8,3000,500,5000,4800,0,96,4,5,480000,25,1,135,21
LORAWAN,2,50000,100,1000,940,0,94,6,16,94000,26,4,137,22
LORAWAN,9,10000,10000,100000,84000,0,84,16,8,8400000,100,7,327,141
LORAWAN,9,10000,50000,500000,250000,0,50,50,17,25000000,100,34,1000,641
LORAWAN,2,30000,50000,500000,250000,0,50,50,9,25000000,100,36,1000,643
LORAWAN,5,10000,100,1000,960,0,96,4,12,96000,22,1,129,17
LORAWAN,9,30000,10,100,95,0,95,5,5,9500,23,3,131,18
LORAWAN,9,15000,5000,50000,44500,0,89,11,6,4450000,71,5,228,78
LORAWAN,3,50000,1000,10000,9300,0,93,7,10,930000,35,4,155,33
LORAWAN,5,15000,10000,100000,83000,0,83,17,7,8300000,100,8,328,141
LORAWAN,7,3000,10000,100000,84000,0,84,16,12,8400000,100,7,325,140
LORAWAN,7,50000,10,100,94,0,94,6,18,9400,25,4,135,21
LORAWAN,6,15000,500,5000,4750,0,95,5,13,475000,26,2,138,22
LORAWAN,10,15000,50000,500000,250000,0,50,50,15,25000000,100,35,1000,641
LORAWAN,2,30000,10000,100000,83000,0,83,17,6,8300000,100,9,331,143
LORAWAN,5,30000,500,5000,4750,0,95,5,19,475000,28,3,141,24
LORAWAN,9,50000,50000,500000,250000,0,50,50,18,25000000,100,37,1000,646
LORAWAN,6,10000,10,100,96,0,96,4,9,9600,21,1,127,16
LORAWAN,8,5000,100,1000,960,0,96,4,19,96000,21,1,128,16
LORAWAN,3,50000,50000,500000,250000,0,50,50,15,25000000,100,37,1000,646
LORAWAN,2,50000,10000,100000,82000,0,82,18,16,8200000,100,10,335,146
LORAWAN,10,5000,10,100,96,0,96,4,7,9600,20,1,126,15
LORAWAN,1,15000,10,100,95,0,95,5,12,9500,21,2,128,16
LORAWAN,7,15000,30000,300000,174000,0,58,42,12,17400000,100,22,728,391
LORAWAN,7,3000,10,100,96,0,96,4,9,9600,20,1,125,15
LORAWAN,5,5000,500,5000,4800,0,96,4,9,480000,25,1,136,21
LORAWAN,1,10000,1000,10000,9500,0,95,5,7,950000,31,1,147,28
LORAWAN,7,15000,1000,10000,9400,0,94,6,8,940000,31,2,148,28
LORAWAN,8,5000,500,5000,4800,0,96,4,13,480000,25,1,136,21
LORAWAN,1,30000,5000,50000,44500,0,89,11,12,4450000,73,6,231,80
LORAWAN,1,50000,10,100,94,0,94,6,6,9400,25,4,135,21
LORAWAN,9,30000,30000,300000,174000,0,58,42,7,17400000,100,23,731,393
LORAWAN,4,50000,30000,300000,171000,0,57,43,18,17100000,100,24,735,396
LORAWAN,9,3000,5000,50000,45000,0,90,10,10,4500000,70,4,225,77
LORAWAN,6,30000,100,1000,950,0,95,5,19,95000,24,3,133,19
LORAWAN,7,3000,500,5000,4800,0,96,4,19,480000,25,1,135,21
LORAWAN,10,10000,5000,50000,45000,0,90,10,6,4500000,71,4,227,78
LORAWAN,7,5000,30000,300000,177000,0,59,41,16,17700000,100,21,726,390
LORAWAN,2,30000,100,1000,950,0,95,5,10,95000,24,3,133,19
LORAWAN,2,3000,10,100,96,0,96,4,13,9600,20,1,125,15
LORAWAN,10,10000,100,1000,960,0,96,4,9,96000,22,1,129,17
LORAWAN,3,30000,10,100,95,0,95,5,6,9500,23,3,131,18
LORAWAN,10,10000,1000,10000,9500,0,95,5,13,950000,31,1,147,28
LORAWAN,9,5000,100,1000,960,0,96,4,18,96000,21,1,128,16
LORAWAN,8,15000,1000,10000,9400,0,94,6,9,940000,31,2,148,28
LORAWAN,8,30000,500,5000,4750,0,95,5,6,475000,28,3,141,24
LORAWAN,2,50000,500,5000,4700,0,94,6,14,470000,30,4,145,27
LORAWAN,1,15000,30000,300000,174000,0,58,42,9,17400000,100,22,728,391
LORAWAN,6,10000,100,1000,960,0,96,4,13,96000,22,1,129,17
LORAWAN,4,3000,50000,500000,250000,0,50,50,18,25000000,100,34,1000,640
LORAWAN,5,5000,10000,100000,84000,0,84,16,13,8400000,100,7,326,140
LORAWAN,8,5000,10000,100000,84000,0,84,16,14,8400000,100,7,326,140
LORAWAN,7,5000,5000,50000,45000,0,90,10,14,4500000,70,4,226,77
LORAWAN,6,5000,5000,50000,45000,0,90,10,5,4500000,70,4,226,77
LORAWAN,1,15000,1000,10000,9400,0,94,6,11,940000,31,2,148,28
LORAWAN,4,5000,100,1000,960,0,96,4,9,96000,21,1,128,16
LORAWAN,4,30000,100,1000,950,0,95,5,8,95000,24,3,133,19
LORAWAN,1,10000,100,1000,960,0,96,4,7,96000,22,1,129,17
LORAWAN,2,5000,100,1000,960,0,96,4,11,96000,21,1,128,16
LORAWAN,6,5000,10000,100000,84000,0,84,16,7,8400000,100,7,326,140
LORAWAN,10,15000,30000,300000,174000,0,58,42,17,17400000,100,22,728,391
LORAWAN,10,5000,500,5000,4800,0,96,4,17,480000,25,1,136,21
LORAWAN,1,30000,500,5000,4750,0,95,5,8,475000,28,3,141,24
LORAWAN,9,30000,1000,10000,9400,0,94,6,7,940000,33,3,151,30
LORAWAN,9,3000,1000,10000,9500,0,95,5,19,950000,30,1,145,27
LORAWAN,8,50000,50000,500000,250000,0,50,50,17,25000000,100,37,1000,646
LORAWAN,10,5000,100,1000,960,0,96,4,15,96000,21,1,128,16
LORAWAN,7,50000,30000,300000,171000,0,57,43,9,17100000,100,24,735,396
LORAWAN,6,10000,500,5000,4800,0,96,4,8,480000,26,1,137,22
LORAWAN,4,15000,500,5000,4750,0,95,5,7,475000,26,2,138,22
LORAWAN,2,3000,100,1000,960,0,96,4,18,96000,21,1,127,16
LORAWAN,3,10000,100,1000,960,0,96,4,10,96000,22,1,129,17
LORAWAN,5,50000,10,100,94,0,94,6,9,9400,25,4,135,21
LORAWAN,5,50000,50000,500000,250000,0,50,50,17,25000000,100,37,1000,646
LORAWAN,6,15000,100,1000,950,0,95,5,14,95000,22,2,130,17
LORAWAN,9,50000,5000,50000,44000,0,88,12,19,4400000,75,7,235,83
LORAWAN,3,3000,30000,300000,177000,0,59,41,10,17700000,100,21,725,390
LORAWAN,10,15000,5000,50000,44500,0,89,11,7,4450000,71,5,228,78
LORAWAN,2,5000,30000,300000,177000,0,59,41,19,17700000,100,21,726,390
LORAWAN,3,3000,100,1000,960,0,96,4,5,96000,21,1,127,16
LORAWAN,1,10000,30000,300000,177000,0,59,41,17,17700000,100,21,727,391
LORAWAN,10,5000,30000,300000,177000,0,59,41,19,17700000,100,21,726,390
LORAWAN,6,5000,30000,300000,177000,0,59,41,10,17700000,100,21,726,390
LORAWAN,4,15000,10000,100000,83000,0,83,17,19,8300000,100,8,328,141
LORAWAN,6,30000,5000,50000,44500,0,89,11,11,4450000,73,6,231,80
LORAWAN,3,50000,5000,50000,44000,0,88,12,11,4400000,75,7,235,83
LORAWAN,7,50000,100,1000,940,0,94,6,7,94000,26,4,137,22
LORAWAN,4,50000,100,1000,940,0,94,6,17,94000,26,4,137,22
LORAWAN,7,5000,10,100,96,0,96,4,10,9600,20,1,126,15
LORAWAN,7,15000,5000,50000,44500,0,89,11,10,4450000,71,5,228,78
LORAWAN,5,30000,50000,500000,250000,0,50,50,13,25000000,100,36,1000,643
LORAWAN,1,50000,1000,10000,9300,0,93,7,10,930000,35,4,155,33
LORAWAN,3,30000,50000,500000,250000,0,50,50,16,25000000,100,36,1000,643
LORAWAN,7,30000,1000,10000,9400,0,94,6,19,940000,33,3,151,30
LORAWAN,1,50000,50000,500000,250000,0,50,50,11,25000000,100,37,1000,646
LORAWAN,2,10000,30000,300000,177000,0,59,41,7,17700000,100,21,727,391
LORAWAN,10,30000,100,1000,950,0,95,5,10,95000,24,3,133,19
